Name;Type;Accuracy_XY;Accuracy_Z;ErrorX;ErrorY;ErrorZ;Projection_Error_pixel
StkdT_12388;GCP;0.004;0.008;-0.002;0.004;0.007;0.346
StkdT_12387;GCP;0.004;0.009;0.018;0.012;-0.017;0.552
StkdT_12320;GCP;0.005;0.009;-0.006;0.005;-0.010;0.375
StkdT_12378;GCP;0.007;0.015;-0.015;-0.007;-0.030;0.322
StkdT_12380;GCP;0.008;0.018;-0.004;-0.007;0.012;0.309
StkdT_12303;GCP;0.005;0.011;0.025;-0.004;-0.007;0.559
StkdT_12317;GCP;0.004;0.008;-0.005;-0.013;-0.031;0.560
StkdT_12362;GCP;0.004;0.008;-0.002;0.009;-0.017;0.533
StkdT_12361;GCP;0.006;0.014;0.013;-0.012;0.035;0.461
StkdT_12364;GCP;0.005;0.012;-0.002;0.019;-0.041;0.262
StkdT_12363;GCP;0.004;0.009;-0.006;-0.010;0.023;0.458
StkdT_12389;Checkpoint;0.0047;0.0107;0.0062;0.0295;0.0303;0.6237
StkdT_12319;Checkpoint;0.0039;0.0076;0.0175;-0.0389;0.0447;0.4231
StkdT_12383;Checkpoint;0.0039;0.0073;0.0011;-0.0496;0.0879;0.5733
StkdT_12382;Checkpoint;0.0043;0.0082;-0.0045;-0.0291;0.0622;0.3533
StkdT_12381;Checkpoint;0.0049;0.0093;0.0120;-0.0339;0.0544;0.3334
StkdT_12379;Checkpoint;0.0059;0.0130;0.0177;0.0245;0.0138;0.4502
StkdT_12375;Checkpoint;0.0091;0.0205;0.0282;-0.0247;0.1446;0.3658
StkdT_12376;Checkpoint;0.0076;0.0179;-0.0106;-0.0788;0.2043;0.3488
StkdT_12386;Checkpoint;0.0038;0.0094;0.0256;-0.0391;0.1087;0.5155
StkdT_12385;Checkpoint;0.0044;0.0107;0.0344;-0.0811;0.1058;0.4923
StkdT_12384;Checkpoint;0.0042;0.0100;0.0260;-0.0426;0.0876;0.4415
StkdT_12371;Checkpoint;0.0040;0.0082;0.0142;0.0316;0.0179;0.4236
StkdT_12316;Checkpoint;0.0044;0.0082;0.0099;0.0212;0.0736;0.4968
StkdT_12369;Checkpoint;0.0048;0.0087;-0.0122;0.0188;0.0222;0.6732
StkdT_12373;Checkpoint;0.0043;0.0078;-0.0003;-0.0302;0.1051;0.6622
StkdT_12318;Checkpoint;0.0043;0.0074;-0.0094;-0.0030;0.1924;0.4859
StkdT_12370;Checkpoint;0.0043;0.0074;0.0082;-0.0457;0.1718;0.2518
StkdT_12372;Checkpoint;0.0111;0.0191;-0.0825;-0.0343;0.2248;0.5803
StkdT_12374;Checkpoint;0.0058;0.0103;-0.0429;-0.0397;0.0953;0.5110
StkdT_12360;Checkpoint;0.0057;0.0107;-0.0215;-0.0151;0.0143;0.3190
